id,name,muscle_group_id
3,bicep_curl,1
2,tricep_pushdown,8
1,lat_pulldown,2
4,wrist_curl,9
5,cable_curl,1
6,skull_crusher,8
7,preacher_curl,1
8,cable_row,3
9,pull_up,2
10,bent_over_dumbell_row,2
11,hammer_curl,1
12,pec_fly,10
14,bench_press,10
15,deadlift,15
16,overhead_press,7
13,chest_press,10
17,rear_delt_flys,7
18,lat_raises,7
19,shoulder_press,7
20,squat,14
21,bulgarian_split_squat,14
22,leg_press,14
23,romanian_deadlift,13
24,hip_thrust,15
25,hamstring_curl,13
26,leg_extension,14
27,calf_raise,16
